 x time
279 -0.51567 2.621068162
280 -0.51501 2.630470194
281 -0.51436 2.639836048
282 -0.5137 2.649212513
283 -0.51305 2.658585772
284 -0.51239 2.668061994
285 -0.51173 2.677337618
286 -0.51107 2.686701919
287 -0.51041 2.696081159
288 -0.50975 2.705445731
289 -0.50909 2.714844968
290 -0.50843 2.724190735
291 -0.50777 2.733588319
292 -0.5071 2.743069341
293 -0.50644 2.752338674
294 -0.50577 2.761701712
295 -0.50511 2.771081343
296 -0.50444 2.780449542
297 -0.50378 2.789858086
298 -0.50311 2.799195748
299 -0.50244 2.808598081
300 -0.50177 2.818074904
301 -0.5011 2.82734085
302 -0.50043 2.836705151
303 -0.49976 2.846095171
304 -0.49909 2.855459923
305 -0.49842 2.864845144
306 -0.49774 2.874201099
307 -0.49707 2.883604795
308 -0.49639 2.893081859
309 -0.49572 2.902349037
310 -0.49504 2.911711766
311 -0.49437 2.921100042
312 -0.49369 2.930464804
313 -0.49301 2.939829526
314 -0.49233 2.949206601
315 -0.49165 2.95857462
316 -0.49097 2.968046644
317 -0.49029 2.97732329
318 -0.48961 2.986689014
319 -0.48893 2.996068194
320 -0.48824 3.005470296
321 -0.48756 3.014836872
322 -0.48687 3.024207716
323 -0.48619 3.033573049
324 -0.4855 3.04304825
325 -0.48482 3.052322211
326 -0.48413 3.061688366
327 -0.48344 3.071066073
328 -0.48275 3.080471511
329 -0.48206 3.089837426
330 -0.48137 3.099219791
331 -0.48068 3.108588811
332 -0.47999 3.118001053
333 -0.47929 3.127324227
334 -0.4786 3.13668971
335 -0.4779 3.14607454
336 -0.47721 3.155473346
337 -0.47651 3.164841686
338 -0.47582 3.174208512
339 -0.47512 3.183577251
340 -0.47442 3.19305181
341 -0.47372 3.20234139
342 -0.47302 3.211692757
343 -0.47232 3.221071646
344 -0.47162 3.230467677
345 -0.47092 3.239834954
346 -0.47021 3.249212881
347 -0.46951 3.258578545
348 -0.4688 3.268052663
349 -0.4681 3.277322476
350 -0.46739 3.286686617
351 -0.46668 3.296070185
352 -0.46598 3.305467247
353 -0.46527 3.314834505
354 -0.46456 3.324212441
355 -0.46385 3.333579307
356 -0.46314 3.343053155
357 -0.46243 3.352328549
358 -0.46171 3.36172479
359 -0.461 3.371073402
360 -0.46029 3.380470175
361 -0.45957 3.389837432
362 -0.45885 3.399206302
363 -0.45814 3.408572326
364 -0.45742 3.418086631
365 -0.4567 3.427331207
366 -0.45598 3.436698453
367 -0.45526 3.446078024
368 -0.45454 3.455474265
369 -0.45382 3.464839959
370 -0.4531 3.474213869
371 -0.45237 3.483577309
372 -0.45165 3.493089038
373 -0.45093 3.502332351
374 -0.4502 3.511698997
375 -0.44947 3.521085249
376 -0.44875 3.530445543
377 -0.44802 3.539848116
378 -0.44729 3.549196558
379 -0.44656 3.558594523
380 -0.44583 3.568013808
381 -0.4451 3.577335017
382 -0.44436 3.586702144
383 -0.44363 3.596090981
384 -0.4429 3.605453689
385 -0.44216 3.614818001
386 -0.44143 3.624205506
387 -0.44069 3.633570188
388 -0.43995 3.643079904
389 -0.43921 3.652321975
390 -0.43847 3.661719519
391 -0.43773 3.671092676
392 -0.43699 3.680456807
393 -0.43625 3.689822251
394 -0.43551 3.699203765
395 -0.43477 3.70857041
396 -0.43402 3.718082931
397 -0.43328 3.727333408
398 -0.43253 3.736684495
399 -0.43178 3.746095474
400 -0.43103 3.755461498
401 -0.43029 3.764827834
402 -0.42954 3.774209899
403 -0.42878 3.783576064
404 -0.42803 3.793089927
405 -0.42728 3.802329002
406 -0.42653 3.811716577
407 -0.42577 3.821080778
408 -0.42502 3.830442554
409 -0.42426 3.83984136
410 -0.42351 3.849186676
411 -0.42275 3.858584791
412 -0.42199 3.868013483
413 -0.42123 3.877330034
414 -0.42047 3.886690408
415 -0.41971 3.896078253
416 -0.41894 3.905444008
417 -0.41818 3.914848184
418 -0.41742 3.924200422
419 -0.41665 3.933566036
420 -0.41589 3.943014506
421 -0.41512 3.952340856
422 -0.41435 3.961706099
423 -0.41358 3.971079608
424 -0.41281 3.98044469
425 -0.41204 3.989817287
426 -0.41127 3.999210132
427 -0.4105 4.008574063
428 -0.40972 4.018087736
429 -0.40895 4.027324888
430 -0.40817 4.036690141
431 -0.4074 4.046068398
432 -0.40662 4.055466813
433 -0.40584 4.06483399
434 -0.40506 4.074208972
435 -0.40428 4.083575387
436 -0.4035 4.093088249
437 -0.40272 4.102332714
438 -0.40194 4.111695973
439 -0.40115 4.121082517
440 -0.40037 4.130447008
441 -0.39958 4.139813302
442 -0.39879 4.149191761
443 -0.39801 4.158589365
444 -0.39722 4.168018599
445 -0.39643 4.177333196
446 -0.39564 4.186696575
447 -0.39485 4.196082338
448 -0.39405 4.205446759
449 -0.39326 4.21482681
450 -0.39246 4.224205418
451 -0.39167 4.233589616
452 -0.39087 4.24301875
453 -0.39007 4.252332265
454 -0.38927 4.261696336
455 -0.38848 4.271082409
456 -0.38767 4.280450317
457 -0.38687 4.289816842
458 -0.38607 4.299191413
459 -0.38527 4.308587043
460 -0.38446 4.318020254
461 -0.38366 4.327331996
462 -0.38285 4.336696298
463 -0.38204 4.346083993
464 -0.38123 4.35545162
465 -0.38042 4.364816703
466 -0.37961 4.374193147
