x y z time
-0.800823 -5.30014 0.00173902 2.50900
-0.800406 -5.29705 0.00173877 2.51000
-0.799989 -5.29396 0.00173853 2.51100
-0.799572 -5.29086 0.00173830 2.51200
-0.799154 -5.28777 0.00173807 2.51300
-0.798737 -5.28467 0.00173785 2.51400
-0.798318 -5.28158 0.00173763 2.51500
-0.797900 -5.27848 0.00173741 2.51600
-0.797481 -5.27539 0.00173720 2.51700
-0.797062 -5.27229 0.00173699 2.51800
-0.796643 -5.26920 0.00173679 2.51900
-0.796224 -5.26610 0.00173659 2.52000
-0.795804 -5.26301 0.00173639 2.52100
-0.795384 -5.25991 0.00173620 2.52200
-0.794963 -5.25681 0.00173602 2.52300
-0.794542 -5.25372 0.00173583 2.52400
-0.794121 -5.25062 0.00173566 2.52500
-0.793700 -5.24752 0.00173548 2.52600
-0.793278 -5.24442 0.00173531 2.52700
-0.792856 -5.24132 0.00173515 2.52800
-0.792434 -5.23823 0.00173499 2.52900
-0.792012 -5.23513 0.00173483 2.53000
-0.791589 -5.23203 0.00173468 2.53100
-0.791166 -5.22893 0.00173453 2.53200
-0.790742 -5.22583 0.00173439 2.53300
-0.790319 -5.22273 0.00173425 2.53400
-0.789895 -5.21963 0.00173411 2.53500
-0.789470 -5.21653 0.00173398 2.53600
-0.789046 -5.21343 0.00173385 2.53700
-0.788621 -5.21033 0.00173373 2.53800
-0.788196 -5.20723 0.00173361 2.53900
-0.787770 -5.20413 0.00173350 2.54000
-0.787345 -5.20103 0.00173338 2.54100
-0.786919 -5.19793 0.00173328 2.54200
-0.786492 -5.19483 0.00173317 2.54300
-0.786066 -5.19172 0.00173308 2.54400
-0.785639 -5.18862 0.00173298 2.54500
-0.785211 -5.18552 0.00173289 2.54600
-0.784784 -5.18242 0.00173280 2.54700
-0.784356 -5.17931 0.00173272 2.54800
-0.783928 -5.17621 0.00173264 2.54900
-0.783499 -5.17311 0.00173256 2.55000
-0.783071 -5.17000 0.00173249 2.55100
-0.782642 -5.16690 0.00173242 2.55200
-0.782212 -5.16379 0.00173236 2.55300
-0.781783 -5.16069 0.00173230 2.55400
-0.781353 -5.15758 0.00173224 2.55500
-0.780923 -5.15448 0.00173219 2.55600
-0.780492 -5.15137 0.00173214 2.55700
-0.780061 -5.14827 0.00173210 2.55800
-0.779630 -5.14516 0.00173206 2.55900
-0.779199 -5.14206 0.00173202 2.56000
-0.778767 -5.13895 0.00173199 2.56100
-0.778335 -5.13584 0.00173196 2.56200
-0.777902 -5.13274 0.00173193 2.56300
-0.777470 -5.12963 0.00173191 2.56400
-0.777037 -5.12652 0.00173189 2.56500
-0.776604 -5.12342 0.00173188 2.56600
-0.776170 -5.12031 0.00173186 2.56700
-0.775736 -5.11720 0.00173186 2.56800
-0.775302 -5.11409 0.00173185 2.56900
-0.774867 -5.11098 0.00173185 2.57000
-0.774433 -5.10787 0.00173186 2.57100
-0.773998 -5.10476 0.00173187 2.57200
-0.773562 -5.10166 0.00173188 2.57300
-0.773126 -5.09855 0.00173189 2.57400
-0.772690 -5.09544 0.00173191 2.57500
-0.772254 -5.09233 0.00173193 2.57600
-0.771818 -5.08921 0.00173196 2.57700
-0.771381 -5.08610 0.00173198 2.57800
-0.770943 -5.08299 0.00173202 2.57900
-0.770506 -5.07988 0.00173205 2.58000
-0.770068 -5.07677 0.00173209 2.58100
-0.769630 -5.07366 0.00173214 2.58200
-0.769191 -5.07055 0.00173218 2.58300
-0.768752 -5.06743 0.00173223 2.58400
-0.768313 -5.06432 0.00173229 2.58500
-0.767874 -5.06121 0.00173234 2.58599
-0.767434 -5.05810 0.00173240 2.58699
-0.766994 -5.05498 0.00173247 2.58799
-0.766554 -5.05187 0.00173253 2.58899
-0.766113 -5.04876 0.00173261 2.58999
-0.765672 -5.04564 0.00173268 2.59099
-0.765231 -5.04253 0.00173276 2.59199
-0.764789 -5.03941 0.00173284 2.59299
-0.764348 -5.03630 0.00173292 2.59399
-0.763905 -5.03318 0.00173301 2.59499
-0.763463 -5.03007 0.00173310 2.59599
-0.763020 -5.02695 0.00173320 2.59699
-0.762577 -5.02383 0.00173329 2.59799
-0.762133 -5.02072 0.00173340 2.59899
-0.761690 -5.01760 0.00173350 2.59999
-0.761246 -5.01449 0.00173361 2.60099
-0.760801 -5.01137 0.00173372 2.60199
-0.760356 -5.00825 0.00173383 2.60299
-0.759911 -5.00513 0.00173395 2.60399
-0.759466 -5.00202 0.00173407 2.60499
-0.759020 -4.99890 0.00173420 2.60599
-0.758574 -4.99578 0.00173432 2.60699
-0.758128 -4.99266 0.00173445 2.60799
-0.757681 -4.98954 0.00173459 2.60899
-0.757235 -4.98642 0.00173473 2.60999
-0.756787 -4.98330 0.00173487 2.61099
-0.756340 -4.98018 0.00173501 2.61199
-0.755892 -4.97706 0.00173516 2.61299
-0.755444 -4.97394 0.00173531 2.61399
-0.754995 -4.97082 0.00173546 2.61499
-0.754546 -4.96770 0.00173562 2.61599
-0.754097 -4.96458 0.00173577 2.61699
-0.753648 -4.96146 0.00173594 2.61799
-0.753198 -4.95834 0.00173610 2.61899
-0.752748 -4.95522 0.00173627 2.61999
-0.752297 -4.95209 0.00173644 2.62099
-0.751846 -4.94897 0.00173662 2.62199
-0.751395 -4.94585 0.00173680 2.62299
-0.750944 -4.94273 0.00173698 2.62399
-0.750492 -4.93960 0.00173716 2.62499
-0.750040 -4.93648 0.00173735 2.62599
-0.749588 -4.93336 0.00173754 2.62699
-0.749135 -4.93023 0.00173773 2.62799
-0.748682 -4.92711 0.00173793 2.62899
-0.748228 -4.92398 0.00173813 2.62999
-0.747775 -4.92086 0.00173833 2.63099
-0.747321 -4.91773 0.00173854 2.63199
-0.746866 -4.91461 0.00173874 2.63299
-0.746412 -4.91148 0.00173896 2.63399
-0.745957 -4.90836 0.00173917 2.63499
-0.745501 -4.90523 0.00173939 2.63599
-0.745046 -4.90210 0.00173961 2.63699
-0.744590 -4.89898 0.00173983 2.63799
-0.744133 -4.89585 0.00174006 2.63899
-0.743677 -4.89272 0.00174029 2.63999
-0.743220 -4.88960 0.00174052 2.64099
-0.742762 -4.88647 0.00174075 2.64199
-0.742305 -4.88334 0.00174099 2.64299
-0.741847 -4.88021 0.00174123 2.64399
-0.741388 -4.87708 0.00174147 2.64499
-0.740930 -4.87396 0.00174172 2.64599
-0.740471 -4.87083 0.00174197 2.64699
-0.740011 -4.86770 0.00174222 2.64799
-0.739552 -4.86457 0.00174248 2.64899
-0.739092 -4.86144 0.00174274 2.64999
-0.738631 -4.85831 0.00174300 2.65099
